feature	backing	form	world	place	result
breadcrumbs	erl_abst	def	w1	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	w2	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	def	w2	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	w2	declaration(snoc/2#1)	green
breadcrumbs	erl_abst	def	w2	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	def	w3	declaration(snoc!/2#0)	green
breadcrumbs	erl_abst	def	w3	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	w3	declaration(snoc?/2#0)	green
breadcrumbs	erl_abst	def	w3	declaration(snoc_x/2#0)	green
breadcrumbs	erl_abst	def	w3	declaration(snoć/2#0)	green
breadcrumbs	erl_abst	def	w3	declaration(xsnoc/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc!/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc/2#1)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc?/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoc_x/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(snoć/2#0)	green
breadcrumbs	erl_abst	def	w4	declaration(xsnoc/2#0)	green
breadcrumbs	erl_abst	def	x_arity	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	x_arity	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	def	x_arity_absent	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	x_arity_separate	declaration(snoc/0#0)	green
breadcrumbs	erl_abst	def	x_arity_separate	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	def	x_arity_separate	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	x_arity_zero	declaration(snoc/0#0)	green
breadcrumbs	erl_abst	def	x_arity_zero	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	x_not_a_call	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	def	x_other_module	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	w1	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	w2	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	defp	w2	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	w2	declaration(snoc/2#1)	green
breadcrumbs	erl_abst	defp	w2	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(snoc!/2#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(snoc?/2#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(snoc_x/2#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(snoć/2#0)	green
breadcrumbs	erl_abst	defp	w3	declaration(xsnoc/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc!/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc/2#1)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc?/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoc_x/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(snoć/2#0)	green
breadcrumbs	erl_abst	defp	w4	declaration(xsnoc/2#0)	green
breadcrumbs	erl_abst	defp	x_arity	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	x_arity	declaration(snoc/3#0)	green
breadcrumbs	erl_abst	defp	x_arity_absent	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	x_arity_separate	declaration(snoc/0#0)	green
breadcrumbs	erl_abst	defp	x_arity_separate	declaration(snoc/1#0)	green
breadcrumbs	erl_abst	defp	x_arity_separate	declaration(snoc/2#0)	green
breadcrumbs	erl_abst	defp	x_arity_zero	declaration(snoc/0#0)	green
breadcrumbs	erl_abst	defp	x_arity_zero	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	w1	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	w2	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	def	w2	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	w2	declaration(snoc/2#1)	green
breadcrumbs	ex_dbgi	def	w2	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	def	w3	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc/2#1)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	def	w4	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_arity	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_arity	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	def	x_arity_absent	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_arity_separate	declaration(snoc/0#0)	green
breadcrumbs	ex_dbgi	def	x_arity_separate	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	def	x_arity_separate	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_arity_zero	declaration(snoc/0#0)	green
breadcrumbs	ex_dbgi	def	x_arity_zero	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_defaults	declaration(snoc/2#0)	red
breadcrumbs	ex_dbgi	def	x_defaults_head	declaration(snoc/2#0)	red
breadcrumbs	ex_dbgi	def	x_defaults_head	declaration(snoc/2#1)	red
breadcrumbs	ex_dbgi	def	x_nfc	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	def	x_not_a_call	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	def	x_other_module	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w1	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w2	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	defdelegate	w2	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w2	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w3	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	w4	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_absent	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_separate	declaration(snoc/0#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_separate	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_separate	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_zero	declaration(snoc/0#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_arity_zero	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_defaults	declaration(snoc/2#0)	red
breadcrumbs	ex_dbgi	defdelegate	x_defaults_head	declaration(snoc/2#0)	red
breadcrumbs	ex_dbgi	defdelegate	x_nfc	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_not_a_call	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate	x_other_module	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w1	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w2	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w2	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w2	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w3	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc!/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc/1#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc/3#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc?/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoc_x/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(snoć/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	w4	declaration(xsnoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	x_arity	declaration(snoc/2#0)	green
breadcrumbs	ex_dbgi	defdelegate_unresolvable	x_arity	declaration(snoc/3#0)	green
